中文	翻译文本
单场战死士兵超过25%时，返还超出部分的预备兵	單場戰死士兵超過25%時，返還超出部分的預備兵
下阵武将时，武将携带士兵返还	下陣武將時，武將攜帶士兵返還
解锁屯田功能，可派遣部队于土地进行屯田，获得资源	解鎖屯田功能，可派遣部隊於土地進行屯田，獲得資源
解锁荡寇功能，主城周围会出现乱军，可派遣部队剿灭乱军，缴获贼赃	解鎖蕩寇功能，主城周圍會出現亂軍，可派遣部隊剿滅亂軍，繳獲賊贓
解锁练兵功能，可派遣部队于土地进行练兵，增加武将经验	解鎖練兵功能，可派遣部隊於土地進行練兵，增加武將經驗
解锁商贾功能，可以以物易物	解鎖商賈功能，可以以物易物
解锁陈情功能，可以处理政务	解鎖陳情功能，可以處理政務
解锁迁城功能，占领3X3的相邻地块并修建地基后，可迁城至地基上	解鎖遷城功能，佔領3X3的相鄰地塊並修建地基後，可遷城至地基上
解锁进修功能，武将可在主城中通过进修获得经验	解鎖進修功能，武將可在主城中通過進修獲得經驗
攻城第二名	攻城第二名
攻城第三名	攻城第三名
攻城第四至五名	攻城第四至五名
攻城参与奖	攻城參與獎
破敌第一名	破敵第一名
破敌第二名	破敵第二名
破敌第三名	破敵第三名
破敌第四至五名	破敵第四至五名
破敌参与奖	破敵參與獎
<color=#cfba92>摧枯拉朽，稳操胜券</color>	<color=#cfba92>摧枯拉朽，穩操勝券</color>
<color=#8cd45c>彼弱我强，十拿九稳</color>	<color=#8cd45c>彼弱我強，十拿九穩</color>
<color=#eae1d6>势均力敌，胜负难料</color>	<color=#eae1d6>勢均力敵，勝負難料</color>
<color=#ffa76d>劲敌在前，三思而行</color>	<color=#ffa76d>勁敵在前，三思而行</color>
<color=#ff7a7a>以卵击石，必败无疑</color>	<color=#ff7a7a>以卵擊石，必敗無疑</color>
卡包预览+武将	卡包預覽+武將
勤恳	勤懇
图强	圖強
踊跃	踴躍
联盟人数上限	聯盟人數上限
提升本城可储存资源上限	提升本城可儲存資源上限
祭祀最终铜币获取提升	祭祀最終銅幣獲取提升
开场时，使武力最高的2支我军部队造成的武力伤害无视目标30%统率，持续9秒	開場時，使武力最高的2支我軍部隊造成的武力傷害無視目標30%統率，持續9秒
开场时，使智力最高的2支我军部队智力增加30点，持续9秒	開場時，使智力最高的2支我軍部隊智力增加30點，持續9秒
开场时，使统率最高的2支我军部队获得最大兵力5%的护盾，持续9秒	開場時，使統率最高的2支我軍部隊獲得最大兵力5%的護盾，持續9秒
开场时，使速度最高的我军部队命中，闪避增加10%，持续9秒	開場時，使速度最高的我軍部隊命中，閃避增加10%，持續9秒
战斗开始后，可攻击敌军全体，持续9秒	戰鬥開始後，可攻擊敵軍全體，持續9秒
战斗中，自身攻城值增加20%	戰鬥中，自身攻城值增加20%
战斗开始后，自身造成的所有伤害增加50%，持续9秒	戰鬥開始後，自身造成的所有傷害增加50%，持續9秒
开场时，使随机3支友军造成的所有伤害增加15%，持续9秒	開場時，使隨機3支友軍造成的所有傷害增加15%，持續9秒
战斗中，自身耐久值增加20%	戰鬥中，自身耐久值增加20%
驻守本城区的部队武力+10	駐守本城區的部隊武力+10
驻守本城区的部队智力+10	駐守本城區的部隊智力+10
产出铜币	產出銅幣
产出木材	產出木材
产出铁锭	產出鐵錠
产出石料	產出石料
产出粮食	產出糧食
主城资源产出速度降低50%	主城資源產出速度降低50%
资源采集速度提升100%	資源採集速度提升100%
武将行动所消耗的体力降为<color=#8cd45c>10</color>，正常为<color=#8cd45c>20</color>	武將行動所消耗的體力降為<color=#8cd45c>10</color>，正常為<color=#8cd45c>20</color>
武将负伤状态持续时间缩短为<color=#8cd45c>1</color>分钟，正常为<color=#8cd45c>5</color>分钟	武將負傷狀態持續時間縮短為<color=#8cd45c>1</color>分鐘，正常為<color=#8cd45c>5</color>分鐘
主城和分城进入免战状态	主城和分城進入免戰狀態
屯田所需的政令消耗减<color=#8cd45c>1</color>	屯田所需的政令消耗減<color=#8cd45c>1</color>
练兵所需的政令消耗减<color=#8cd45c>1</color>	練兵所需的政令消耗減<color=#8cd45c>1</color>
建造营寨所需的政令消耗减<color=#8cd45c>1</color>	建造營寨所需的政令消耗減<color=#8cd45c>1</color>
加入军团的冷却时间为<color=#8cd45c>10分钟</color>，正常时间为24小时	加入軍團的冷卻時間為<color=#8cd45c>10分鐘</color>，正常時間為24小時
单场战斗死兵数超过20%，死兵按80%的比例返还征兵所需资源	單場戰鬥死兵數超過20%，死兵按80%的比例返還徵兵所需資源
武将下阵返还全额预备兵	武將下陣返還全額預備兵
仓库上限增加800000	倉庫上限增加800000
减少武将体力恢复时间90秒	減少武將體力恢復時間90秒
提升本势力所属队伍的行军速度<color=#88e947>50%</color>	提升本勢力所屬隊伍的行軍速度<color=#88e947>50%</color>
主城资源产出速度降低X%	主城資源產出速度降低X%
联盟人数上限+8	聯盟人數上限+8
-18秒	-18秒
-36秒	-36秒
-54秒	-54秒
-72秒	-72秒
-90秒	-90秒
默认聊天框	默認聊天框
聊天气泡：通用样式(永久)	聊天氣泡：通用樣式(永久)
雕梁画栋	雕樑畫棟
丹枫迎秋	丹楓迎秋
偃月青龙	偃月青龍
奋戟扬戈	奮戟揚戈
桃园结义	桃園結義
默认主城皮肤	默認主城外觀
春节	春節
潜龙勿用	潛龍勿用
默认头像框	默認頭像框
鸿鹄揽云	鴻鵠攬雲
瑶琴余韵	瑤琴餘韻
翰墨游龙	翰墨游龍
桃之夭夭	桃之夭夭
赳赳甲士	赳赳甲士
青竹翠微	青竹翠微
秦月汉关	秦月漢關
名动神州	名動神州
默认铭牌	默認銘牌
默认行军动画	默認行軍動畫
行军动画：驱战车(永久)	行軍動畫：驅戰車(永久)
行军动画：驱马车(永久)	行軍動畫：驅馬車(永久)
个性化外观	個性化外觀
1.使用后，将改变当前聊天气泡样式\n2.头像框使用后，对全体玩家可见\n3.取消使用，将恢复成默认外观\n4.外观将在有效时间过期后消失，若在使用中过期，则恢复为默认外观	1.使用後，將改變當前聊天氣泡樣式\n2.取消使用，將恢復成默認外觀\n4.外觀將在有效時間過期後消失，若在使用中過期，則恢復為默認外觀
1.使用后，将改变当前聊天气泡样式\n2.头像框使用后，对全体玩家可见\n3.取消使用，将恢复成默认外观\n4.该外观可永久使用	1.使用後，將改變當前聊天氣泡樣式\n2.取消使用，將恢復成默認外觀\n4.該外觀可永久使用
1.使用后，将改变当前主城皮肤样式\n2.头像框使用后，对全体玩家可见\n3.取消使用，将恢复成默认外观\n4.外观将在有效时间过期后消失，若在使用中过期，则恢复为默认外观	1.使用後，將改變當前主城外觀樣式\n2.取消使用，將恢復成默認外觀\n4.外觀將在有效時間過期後消失，若在使用中過期，則恢復為默認外觀
1.使用后，将改变当前主城皮肤样式\n2.头像框使用后，对全体玩家可见\n3.取消使用，将恢复成默认外观\n4.该外观可永久使用	1.使用後，將改變當前主城外觀樣式\n2.取消使用，將恢復成默認外觀\n4.該外觀可永久使用
1.使用后，将改变当前头像框样式\n2.头像框使用后，对全体玩家可见\n3.取消使用，将恢复成默认外观\n4.该外观可永久使用	1.使用後，將改變當前頭像框樣式\n2.取消使用，將恢復成默認外觀\n4.該外觀可永久使用
1.使用后，将改变当前头像框样式\n2.头像框使用后，对全体玩家可见\n3.取消使用，将恢复成默认外观\n4.外观将在有效时间过期后消失，若在使用中过期，则恢复为默认外观	1.使用後，將改變當前頭像框樣式\n2.取消使用，將恢復成默認外觀\n4.外觀將在有效時間過期後消失，若在使用中過期，則恢復為默認外觀
1.使用后，将改变当前铭牌样式\n2.头像框使用后，对全体玩家可见\n3.取消使用，将恢复成默认外观\n4.该外观可永久使用	1.使用後，將改變當前銘牌樣式\n2.取消使用，將恢復成默認外觀\n4.該外觀可永久使用
1.使用后，将改变当前铭牌样式\n2.头像框使用后，对全体玩家可见\n3.取消使用，将恢复成默认外观\n4.外观将在有效时间过期后消失，若在使用中过期，则恢复为默认外观	1.使用後，將改變當前銘牌樣式\n2.取消使用，將恢復成默認外觀\n4.外觀將在有效時間過期後消失，若在使用中過期，則恢復為默認外觀
1.使用后，将改变当前行军动画样式\n2.头像框使用后，对全体玩家可见\n3.取消使用，将恢复成默认外观\n4.外观将在有效时间过期后消失，若在使用中过期，则恢复为默认外观	1.使用後，將改變當前行軍動畫樣式\n2.取消使用，將恢復成默認外觀\n4.外觀將在有效時間過期後消失，若在使用中過期，則恢復為默認外觀
1.使用后，将改变当前行军动画样式\n2.头像框使用后，对全体玩家可见\n3.取消使用，将恢复成默认外观\n4.该外观可永久使用	1.使用後，將改變當前行軍動畫樣式\n2.取消使用，將恢復成默認外觀\n4.該外觀可永久使用
边界云	邊界雲
河流	河流
山脉	山脈
桥梁	橋樑
城区	城區
战地	戰地
地基伴生城区	地基伴生城區
玩家城池	玩家城池
玩家城池皮肤1	玩家城池外觀1
玩家伴生城区	玩家伴生城區
野外军营	野外軍營
野外瞭望塔	野外瞭望塔
野外XX	野外XX
营寨修建状态	營寨修建狀態
个人军营	個人軍營
个人瞭望塔	個人瞭望塔
黄巾营地	黃巾營地
张角营地	張角營地
董卓营寨	董卓營寨
董卓破损营寨	董卓破損營寨
诸侯营地	諸侯營地
集结营地	集結營地
马场	馬場
怪物	怪物
董卓城池AI	董卓城池AI
水路	水路
二级山寨	二級山寨
一片空地，默认可通行	一片空地，默認可通行
湍急的河流，不可被占领，部队不可通行！	湍急的河流，不可被佔領，部隊不可通行！
崎岖的山脉，不可被占领，部队不可通行！	崎嶇的山脈，不可被佔領，部隊不可通行！
战略要道，默认可通行，占领难度高！	戰略要道，默認可通行，佔領難度高！
战略要道，默认可通行，且脆弱的桥梁上不可修建建筑！	戰略要道，默認可通行，且脆弱的橋樑上不可修建建築！
可用于修建<color=#d5c09b>铸币厂</color>(提高铜币产量)的高级土地	可用於修建<color=#d5c09b>鑄幣廠</color>(提高銅幣產量)的高級土地
可用于修建<color=#d5c09b>工坊</color>(提高各类资源产量)的高级土地	可用於修建<color=#d5c09b>工坊</color>(提高各類資源產量)的高級土地
可用于修建<color=#d5c09b>辎重库</color>(提高仓库上限)的高级土地	可用於修建<color=#d5c09b>輜重庫</color>(提高倉庫上限)的高級土地
可用于修建<color=#d5c09b>宴台</color>(提高武将体力恢复速度)的高级土地	可用於修建<color=#d5c09b>宴台</color>(提高武將體力恢復速度)的高級土地
战略要地，兵家必争，不可免战！	戰略要地，兵家必爭，不可免戰！
"个人占领,最大可调动5支部队"	"個人佔領,最大可調動5支部隊"
营寨可用来调动部队，部队从营寨出发更为便捷	營寨可用來調動部隊，部隊從營寨出發更為便捷
铸造五铢钱之所，可提高铜币产量	鑄造五銖錢之所，可提高銅幣產量
对资源原材料进行加工之所，可增加资源产量	對資源原材料進行加工之所，可增加資源產量
城外的用于贮藏粮草辎重之所，可增加资源存量上限	城外的用於貯藏糧草輜重之所，可增加資源存量上限
君王大宴群臣之所，可供将士休憩，提高体力恢复速度	君王大宴群臣之所，可供將士休憩，提高體力恢復速度
畅通无阻，快马飞驰的通道，牛逼完了的！	暢通無阻，快馬飛馳的通道，牛逼完了的！
占领后同联盟玩家队伍可达到对岸！	佔領後同聯盟玩家隊伍可達到對岸！
占领后，联盟成员的队伍由此到达对岸！	佔領後，聯盟成員的隊伍由此到達對岸！
宽阔的河流，不可被占领，占领附近渡口或码头后可通行！	寬闊的河流，不可被佔領，佔領附近渡口或碼頭後可通行！
分城中可以解锁和升级建筑，进行士兵招募并可以在分城中创建新的编队	分城中可以解鎖和升級建築，進行士兵招募並可以在分城中創建新的編隊
提供周围5格内得视野	提供周圍5格內得視野
归属于联盟得驿路，联盟成员默认可通行	歸屬於聯盟得驛路，聯盟成員默認可通行
可调遣部队到驿站	可調遣部隊到驛站
提升本城耐久及本城队伍的统御值上限	提升本城耐久及本城隊伍的統御值上限
可进行资源交易，并提升交易比例	可進行資源交易，並提升交易比例
提升地图视野范围	提升地圖視野範圍
进行祭祀可获得铜币并提升获取量	進行祭祀可獲得銅幣並提升獲取量
提升本城耐久值	提升本城耐久值
提升缩短征兵时间	提升縮短徵兵時間
提升本城预备兵上限	提升本城預備兵上限
提升本城每个队伍可上阵武将数量	提升本城每個隊伍可上陣武將數量
提升本城器械-弩车等级	提升本城器械-弩車等級
提升本城器械-井阑等级	提升本城器械-井闌等級
提升本城器械-投石车等级	提升本城器械-投石車等級
提升本城器械-战鼓等级	提升本城器械-戰鼓等級
提升本城器械-盾车等级	提升本城器械-盾車等級
提升本城队伍中武将武力	提升本城隊伍中武將武力
提升本城队伍中武将智力	提升本城隊伍中武將智力
提升本城队伍中武将统率	提升本城隊伍中武將統率
提升本城队伍中武将速度	提升本城隊伍中武將速度
提升本城队伍地图行军速度	提升本城隊伍地圖行軍速度
提升本城队伍中武将带兵量	提升本城隊伍中武將帶兵量
提升本城队伍统御上限	提升本城隊伍統御上限
提升本城队伍中武将攻城值	提升本城隊伍中武將攻城值
提升本城队伍守城时的战斗伤害	提升本城隊伍守城時的戰鬥傷害
提升本城队伍守城时的战斗免伤	提升本城隊伍守城時的戰鬥免傷
桥	橋
平路	平路
分城城区	分城城區
<color=#cfba92>【武力】</color>影响普攻伤害及武力技能效果	<color=#cfba92>【武力】</color>影響普攻傷害及武力技能效果
<color=#cfba92>【智力】</color>影响智力技能及智力伤害减免效果	<color=#cfba92>【智力】</color>影響智力技能及智力傷害減免效果
<color=#cfba92>【统率】</color>影响武力伤害减免效果	<color=#cfba92>【統率】</color>影響武力傷害減免效果
<color=#cfba92>【攻城】</color>影响对建筑耐久度及器械的伤害效果	<color=#cfba92>【攻城】</color>影響對建築耐久度及器械的傷害效果
<color=#cfba92>【速度】</color>影响所在队伍的行军速度及主动技能的准备时间	<color=#cfba92>【速度】</color>影響所在隊伍的行軍速度及主動技能的準備時間
<color=#cfba92>【兵力】</color>影响部队造成的伤害及治疗效果，兵力降为0时部队溃灭\n<color=#cfba92>【兵力比】</color>即兵力百分比，武将进入战斗时兵力比为100%，兵力比越低，表示部队受损越严重	<color=#cfba92>【兵力】</color>影響部隊造成的傷害及治療效果，兵力降為0時部隊潰滅\n<color=#cfba92>【兵力比】</color>即兵力百分比，武將進入戰鬥時兵力比為100%，兵力比越低，表示部隊受損越嚴重
<color=#cfba92>【兵种相克】</color>枪克骑 骑克弓 弓克枪	<color=#cfba92>【兵種相克】</color>槍克騎 騎克弓 弓克槍
<color=#cfba92>【等级】</color>武将等级越高，可率领的兵力越多；提升武将等级可按成长值增加属性；武将每10级获得10自由属性点；击败土地守军是提升武将等级的主要途径	<color=#cfba92>【等級】</color>武將等級越高，可率領的兵力越多；提升武將等級可按成長值增加屬性；武將每10級獲得10自由屬性點；擊敗土地守軍是提升武將等級的主要途徑
<color=#cfba92>【体力】</color>武将每次出征需要消耗体力，每3分钟恢复1点体力	<color=#cfba92>【體力】</color>武將每次出征需要消耗體力，每3分鐘恢復1點體力
<color=#cfba92>【星级】</color>可用同名卡提升星级，每升星1次获得10自由属性点	<color=#cfba92>【星級】</color>可用同名卡提升星級，每升星1次獲得10自由屬性點
<color=#cfba92>【御】</color>即统御值，上阵武将的统御值之和不可超过队伍的统御值上限	<color=#cfba92>【御】</color>即統御值，上陣武將的統御值之和不可超過隊伍的統御值上限
<color=#cfba92>【成长值】</color>武将每次升级后提升的属性值	<color=#cfba92>【成長值】</color>武將每次升級後提升的屬性值
<color=#cfba92>【攻击频率】</color>每次攻击的间隔秒数	<color=#cfba92>【攻擊頻率】</color>每次攻擊的間隔秒數
<color=#cfba92>【攻击范围】</color>能够对敌方发动攻击的最远距离	<color=#cfba92>【攻擊範圍】</color>能夠對敵方發動攻擊的最遠距離
<color=#cfba92>【耐久】</color>受到敌方攻击时，会根据对方攻城值损伤耐久，耐久为0时，器械在战场上损毁，失去相应能力	<color=#cfba92>【耐久】</color>受到敵方攻擊時，會根據對方攻城值損傷耐久，耐久為0時，器械在戰場上損毀，失去相應能力
前往城建升级<color=#d06666>兵营</color>可提高队伍上阵武将数量，单个队伍最多可同时上阵4个武将	前往城建升級<color=#d06666>兵營</color>可提高隊伍上陣武將數量，單個隊伍最多可同時上陣4個武將
上阵武将统御值之和不能超过队伍统御值上限，前往城建升级<color=#d06666>大殿、御将旗</color>可提升队伍统御值上限	上陣武將統御值之和不能超過隊伍統御值上限，前往城建升級<color=#d06666>大殿、御將旗</color>可提升隊伍統御值上限
上阵武将及器械的攻城值之和，进攻建筑或土地胜利后会根据该值对其耐久度造成损伤	上陣武將及器械的攻城值之和，進攻建築或土地勝利後會根據該值對其耐久度造成損傷
当前队伍所有上阵武将速度的平均值，该值越高，队伍在地图的行军速度越快	當前隊伍所有上陣武將速度的平均值，該值越高，隊伍在地圖的行軍速度越快
提升本势力所属队伍的行军速度<color=#88e947>35%</color>	提升本勢力所屬隊伍的行軍速度<color=#88e947>35%</color>
降低非本势力所属队伍在本势力内的行军速度<color=#88e947>35%</color>	降低非本勢力所屬隊伍在本勢力內的行軍速度<color=#88e947>35%</color>
提升本势力归属的关卡耐久<color=#88e947>50%</color>	提升本勢力歸屬的關卡耐久<color=#88e947>50%</color>
"持续8小时,冷却4天"	"持續8小時,冷卻4天"
<color=#8cd45c>10体力/次</color>	<color=#8cd45c>10體力/次</color>
<color=#8cd45c>1分钟</color>	<color=#8cd45c>1分鐘</color>
<color=#8cd45c>免战保护</color>	<color=#8cd45c>免戰保護</color>
<color=#8cd45c>10分钟</color>	<color=#8cd45c>10分鐘</color>
<color=#8cd45c>按80%比例返还</color>	<color=#8cd45c>按80%比例返還</color>
<color=#8cd45c>返还预备兵</color>	<color=#8cd45c>返還預備兵</color>
20体力/次	20體力/次
5分钟	5分鐘
无免战保护	無免戰保護
24小时	24小時
不返还	不返還
返还资源	返還資源
1.每日新增6-15个可处理的陈情，主城和分城\n府衙的等级越高，可处理的陈情越多\n2.未处理的陈情将在每日凌晨0点消失\n3.手动刷新可以重置当前所有未处理的陈情\n4.正在处理或处理后未领取奖励的陈情不会被\n刷新，最多同时存在30个陈情	1.每日新增6-15個可處理的陳情，主城和分城\n府衙的等級越高，可處理的陳情越多\n2.未處理的陳情將在每日凌晨0點消失\n3.手動刷新可以重置當前所有未處理的陳情\n4.正在處理或處理後未領取獎勵的陳情不會被\n刷新，最多同時存在30個陳情
1.处理陈情需要派遣足够数量的武将\n2.派遣对应收益加成条件的武将，可以增加陈\n   情收益\n3.当奖励内容为卡包且收益加成达到100%时，\n   可额外获得1次抽奖次数\n4.同个武将不能同时处理多个陈情\n5.陈情任务开启后不能终止	1.處理陳情需要派遣足夠數量的武將\n2.派遣對應收益加成條件的武將，可以增加陳\n   情收益\n3.當獎勵內容為卡包且收益加成達到100%時，\n   可額外獲得1次抽獎次數\n4.同個武將不能同時處理多個陳情\n5.陳情任務開啟後不能終止
玩家主城被击溃后临时搭建的行营，模样简陋且设施不全	玩家主城被擊潰後臨時搭建的行營，模樣簡陋且設施不全
确定要退出游戏吗？	確定要退出遊戲嗎？
结束游戏	結束遊戲
再玩一会	再玩一會
输出	輸出
友军单体	友軍單體
友军群体	友軍群體
我军单体	我軍單體
我军群体	我軍群體
敌军单体	敵軍單體
敌军群体	敵軍群體
随机单体	隨機單體
随机群体	隨機群體
阵容类别	陣容類別
天府之土，沃野千里，蜀道险固，易守难攻，一夫当关，万夫莫开，据之可望天下。	天府之土，沃野千里，蜀道險固，易守難攻，一夫當關，萬夫莫開，據之可望天下。
汉沔之南，名士辈出。云梦连绵，江陆通衢，枢纽江汉，江南砥柱，自古兵家必争。	漢沔之南，名士輩出。雲夢連綿，江陸通衢，樞紐江漢，江南砥柱，自古兵家必爭。
龙盘虎踞，东南形胜。艨艟阵列，以据天堑。待天下有变，当可过江而上，志陵中夏。	龍盤虎踞，東南形勝。艨艟陣列，以據天塹。待天下有變，當可過江而上，志陵中夏。
泰岳之邑，孔孟之乡，民殷财阜，重礼崇仁。依河凭江，战守之冲。	泰岳之邑，孔孟之鄉，民殷財阜，重禮崇仁。依河憑江，戰守之沖。
河北燕赵，上游之势，临驭六合。此地多慷慨悲歌之士，任侠重诺，豪气干云。	河北燕趙，上游之勢，臨馭六合。此地多慷慨悲歌之士，任俠重諾，豪氣干雲。
白马饰金羁，连翩西北驰。并州民风剽悍，崇尚武功。河东都会，用武之地。	白馬飾金羈，連翩西北馳。並州民風剽悍，崇尚武功。河東都會，用武之地。
通一线于广漠，控五郡之咽喉。军中多羌民，善征伐，铁骑纵横天下，当者披靡。	通一線於廣漠，控五郡之咽喉。軍中多羌民，善征伐，鐵騎縱橫天下，當者披靡。
我方聊天框	我方聊天框
爵位聊天框	爵位聊天框
战令聊天框	戰令聊天框
爵位皮肤	爵位外觀
战令皮肤	戰令外觀
可在外观背包中点击使用，更改当前的聊天框外观	可在外觀背包中點擊使用，更改當前的聊天框外觀
通过爵位获取到的聊天框外观，可在外观背包中点击使用	通過爵位獲取到的聊天框外觀，可在外觀背包中點擊使用
通过战令获取到的聊天框外观，可在外观背包中点击使用	通過戰令獲取到的聊天框外觀，可在外觀背包中點擊使用
可在外观背包中点击使用，更改当前的主城外观	可在外觀背包中點擊使用，更改當前的主城外觀
通过爵位获取到的主城皮肤外观，可在外观背包中点击使用	通過爵位獲取到的主城外觀外觀，可在外觀背包中點擊使用
通过战令获取到的主城皮肤外观，可在外观背包中点击使用	通過戰令獲取到的主城外觀外觀，可在外觀背包中點擊使用
可在外观背包中点击使用，更改当前的行军动画效果	可在外觀背包中點擊使用，更改當前的行軍動畫效果
荣耀卡包\n20次	榮耀卡包\n20次
割据卡包\n5次	割據卡包\n5次
创建角色解锁	創建角色解鎖
登录排队	登錄排隊
"当前服务器登录人数过多, 请耐心等待...\n目前排在<color=#7fb05e>%s</color>名, \n预计等待时间: <color=#7fb05e>1分钟</color>以内"	"當前伺服器登錄人數過多, 請耐心等待...\n目前排在<color=#7fb05e>%s</color>名, \n預計等待時間: <color=#7fb05e>1分鐘</color>以內"
"当前服务器登录人数过多, 请耐心等待...\n目前排在<color=#7fb05e>%s</color>名, \n预计等待时间: <color=#7fb05e>%s分钟</color>"	"當前伺服器登錄人數過多, 請耐心等待...\n目前排在<color=#7fb05e>%s</color>名, \n預計等待時間: <color=#7fb05e>%s分鐘</color>"
"当前服务器登录人数过多, 请耐心等待...\n目前排在<color=#7fb05e>%s</color>名, \n预计等待时间: <color=#7fb05e>%s小时%s分钟</color>"	"當前伺服器登錄人數過多, 請耐心等待...\n目前排在<color=#7fb05e>%s</color>名, \n預計等待時間: <color=#7fb05e>%s小時%s分鐘</color>"
退出排队	退出排隊
由于服务器火爆且你离线时间过长，请返回登录界面重新登录。	由於伺服器火爆且你離線時間過長，請返回登錄介面重新登錄。
联盟全体标记	聯盟全體標記
指定军团	指定軍團
擅长武力攻击，能对敌方造成大量武力伤害	擅長武力攻擊，能對敵方造成大量武力傷害
擅长智力攻击，能对敌方造成大量智力伤害	擅長智力攻擊，能對敵方造成大量智力傷害
智勇双全，同时擅长武力攻击与智力攻击	智勇雙全，同時擅長武力攻擊與智力攻擊
攻守兼备，同时具备不俗的进攻能力与防御能力	攻守兼備，同時具備不俗的進攻能力與防禦能力
擅长抵挡伤害或抵御异常状态	擅長抵擋傷害或抵禦異常狀態
可为己方部队施加增益效果或对敌方部队施加减益效果	可為己方部隊施加增益效果或對敵方部隊施加減益效果
可于战场上对己方部队进行兵力回复	可於戰場上對己方部隊進行兵力回復
可对敌方施加控制状态，使其无法普攻或施放技能	可對敵方施加控制狀態，使其無法普攻或施放技能
几乎无上阵价值，可用于其他武将提升时的消耗	幾乎無上陣價值，可用於其他武將提升時的消耗
纪念用卡，不可上阵	紀念用卡，不可上陣
瞭望塔Ⅳ	瞭望塔Ⅳ
协同固守	協同固守
开启驿路建造功能	開啟驛路建造功能
增加驿路可建造数量	增加驛路可建造數量
开启驿站建造功能	開啟驛站建造功能
增加驿站可建造数量和升级上限	增加驛站可建造數量和升級上限
开启瞭望塔建造功能	開啟瞭望塔建造功能
增加瞭望塔可建造数量	增加瞭望塔可建造數量
联盟成员驻守在瞭望塔驿站驿路上时，每次战斗后能立即恢复70%的伤兵	聯盟成員駐守在瞭望塔驛站驛路上時，每次戰鬥後能立即恢復70%的傷兵
可建造驿路数量上限	可建造驛路數量上限
可建造驿站数量上限	可建造驛站數量上限
可建造瞭望塔数量上限	可建造瞭望塔數量上限
驿站建筑等级上限为	驛站建築等級上限為
——————文字战报	——————文字戰報
<color=#a8bccb>[sendUID]对[targetUID]发动普通攻击</color>	<color=#a8bccb>[sendUID]對[targetUID]發動普通攻擊</color>
<color=#a8bccb>[sendUID]释放技能<color=#d1dadd>【[behaviorID]】</color></color>	<color=#a8bccb>[sendUID]釋放技能<color=#d1dadd>【[behaviorID]】</color></color>
<color=#a8bccb>[sendUID]使用宝物<color=#d1dadd>【[behaviorID]】</color></color>	<color=#a8bccb>[sendUID]使用寶物<color=#d1dadd>【[behaviorID]】</color></color>
<color=#a8bccb>[sendUID]<color=#d1dadd>【[behaviorID]】生效</color></color>	<color=#a8bccb>[sendUID]<color=#d1dadd>【[behaviorID]】生效</color></color>
<color=#a8bccb>[targetUID]损失<color=#ffd76b>[removeHp]</color>[isChief][correntionMask](剩余[isChief]<color=#ffd76b>[surplusHp]</color>)</color>	<color=#a8bccb>[targetUID]損失<color=#ffd76b>[removeHp]</color>[isChief][correntionMask](剩餘[isChief]<color=#ffd76b>[surplusHp]</color>)</color>
<color=#a8bccb>来自[sendUID]的(持续伤害)生效，[targetUID]损失<color=#ffd76b>[removeHp]</color>[isChief][correntionMask](剩余[isChief]<color=#ffd76b>[surplusHp]</color>)</color>	<color=#a8bccb>來自[sendUID]的(持續傷害)生效，[targetUID]損失<color=#ffd76b>[removeHp]</color>[isChief][correntionMask](剩餘[isChief]<color=#ffd76b>[surplusHp]</color>)</color>
<color=#a8bccb>来自【[effectId]】的(持续伤害)生效，[targetUID]损失<color=#ffd76b>[removeHp]</color>[isChief][correntionMask](剩余[isChief]<color=#ffd76b>[surplusHp]</color>)</color>	<color=#a8bccb>來自【[effectId]】的(持續傷害)生效，[targetUID]損失<color=#ffd76b>[removeHp]</color>[isChief][correntionMask](剩餘[isChief]<color=#ffd76b>[surplusHp]</color>)</color>
<color=#a8bccb>来自[sendUID]的(灼烧)效果生效，[targetUID]损失<color=#ffd76b>[removeHp]</color>[isChief][correntionMask](剩余[isChief]<color=#ffd76b>[surplusHp]</color>)</color>	<color=#a8bccb>來自[sendUID]的(灼燒)效果生效，[targetUID]損失<color=#ffd76b>[removeHp]</color>[isChief][correntionMask](剩餘[isChief]<color=#ffd76b>[surplusHp]</color>)</color>
<color=#a8bccb>来自【[effectId]】的(灼烧)效果生效，[targetUID]损失<color=#ffd76b>[removeHp]</color>[isChief][correntionMask](剩余[isChief]<color=#ffd76b>[surplusHp]</color>)</color>	<color=#a8bccb>來自【[effectId]】的(灼燒)效果生效，[targetUID]損失<color=#ffd76b>[removeHp]</color>[isChief][correntionMask](剩餘[isChief]<color=#ffd76b>[surplusHp]</color>)</color>
<color=#a8bccb>来自[sendUID]的(流血)效果生效，[targetUID]损失<color=#ffd76b>[removeHp]</color>[isChief][correntionMask](剩余[isChief]<color=#ffd76b>[surplusHp]</color>)</color>	<color=#a8bccb>來自[sendUID]的(流血)效果生效，[targetUID]損失<color=#ffd76b>[removeHp]</color>[isChief][correntionMask](剩餘[isChief]<color=#ffd76b>[surplusHp]</color>)</color>
<color=#a8bccb>来自【[effectId]】的(流血)效果生效，[targetUID]损失<color=#ffd76b>[removeHp]</color>[isChief][correntionMask](剩余[isChief]<color=#ffd76b>[surplusHp]</color>)</color>	<color=#a8bccb>來自【[effectId]】的(流血)效果生效，[targetUID]損失<color=#ffd76b>[removeHp]</color>[isChief][correntionMask](剩餘[isChief]<color=#ffd76b>[surplusHp]</color>)</color>
